	values	TF
HOXC11	93003	1
HOXD12	89946.5855855856	1
PAX2	82981.6846846847	1
LMX1B	67234.2072072072	1
GATA4	66152.8198198198	1
PAX7	60134.3693693694	1
ZIC4	60060.8378378378	1
HOXA1	56726.0540540541	1
RBFOX3	52562.5225225225	0
CDH22	50288.045045045	0
SIX3	49474.0990990991	1
EN2	48731.9099099099	1
ALX4	47524.2342342342	1
ONECUT3	47289.4774774775	1
SIM2	47260.9279279279	1
EN1	46924.027027027	1
SFTA3	46754.6396396396	0
HMX1	45975.8648648649	1
PRSS16	44434.8738738739	0
GSX1	43758.2342342342	1
UNCX	43743.8648648649	1
SCRG1	43672.8108108108	0
NR2E1	43306.4324324324	1
DLX6	43245.9279279279	1
C17orf102	42698.8648648649	0
TBX5	42599.1801801802	1
EMX2	40309.7837837838	1
ONECUT1	40143.5045045045	1
DLX4	39864.0810810811	1
WNT6	39110.2432432432	0
SRCIN1	38579.0900900901	0
NKX2-5	37659.1261261261	1
PRDM13	37478.1531531532	1
TFAP2A	37369.4414414414	1
TBX15	37149.2882882883	1
NKX2-2	36889.7657657658	1
OLIG2	36612.2162162162	1
NEUROG1	36579.5315315315	1
LHX5	35747.2162162162	1
GATA3	35684.0990990991	1
PITX2	35324.4144144144	1
PDX1	34788.8648648649	1
OLIG3	34423.3693693694	1
OTX2	34408.2072072072	1
VAX1	34358.2432432432	1
TFAP2B	34341.954954955	1
DMRT1	34334.7027027027	1
NKX3-1	34106.6486486486	1
CACNG2	34004.1351351351	0
RSPO1	33846.036036036	0
SLC32A1	33549.981981982	0
HAND1	33514.2702702703	1
OTP	33474.8198198198	1
MNX1	33404.0630630631	1
TBX3	33359.972972973	1
DLX1	33057.2432432432	1
NKX6-1	33049.6756756757	1
BARX1	32877.4864864865	1
PAX9	32824.3423423423	1
TLX3	32627.5945945946	1
SKOR2	32432.5765765766	0
NTNG2	32403.981981982	0
NEUROG3	32371	1
HMX3	32185.963963964	1
EPHA8	32073.2522522523	0
CRTAC1	31883.0540540541	0
BARHL2	31844.5675675676	1
FOXD1	31820.2972972973	1
CFAP77	31793.9009009009	0
GDF6	31737.4414414414	0
NR2F2	31728.954954955	1
RAX	31537.1891891892	1
PHOX2B	31365.2522522523	1
PITX1	31221.9279279279	1
NEUROD2	31205.8198198198	1
GRM4	31090.8738738739	0
PTF1A	30989.1351351351	1
NRG2	30889.6576576577	0
SOX17	30553.4054054054	1
MEGF11	30455.8648648649	0
LINGO1	30395.4864864865	0
SLC17A9	30379.7477477477	0
WT1	30377.4504504505	1
FOXE3	30037.6036036036	1
NR2F1	30015.3693693694	1
RNF220	29958.1081081081	0
SIX2	29408.1171171171	1
FEZF2	29311.3873873874	1
KCNQ2	29137.1981981982	0
LMX1A	29079.2792792793	1
BTNL9	29057.2792792793	0
SSTR5	28971.1711711712	0
FOXB1	28916.2792792793	1
GRIK3	28894.7837837838	0
KCNQ1	28883.3243243243	0
PAX3	28849.8018018018	1
NRN1	28804.5045045045	0
CELF4	28683.7837837838	0
EBF3	28638.5045045045	1
FOXE1	28137.8018018018	1
CRHR1-IT1-CRHR1	27996.4234234234	0
SHH	27903.0810810811	0
VWA5B1	27853.981981982	0
POU3F3	27592.9099099099	1
CRHR1	27510.5405405405	0
IGSF21	27463.954954955	0
C1orf61	27370.2702702703	0
CHAT	27350.6126126126	0
GBX2	27225.8198198198	1
POU4F3	27218.963963964	1
MSX2	27087.9189189189	1
ANK1	27007.954954955	0
C1orf53	26978.6216216216	0
ALX3	26813.990990991	1
ELFN2	26668.6126126126	0
PPP2R2C	26589.2882882883	0
POU3F2	26581.7927927928	1
CACNA1I	26553.1261261261	0
HELT	26517.0990990991	1
SYT2	26467.2252252252	0
CASZ1	26378.8108108108	1
POU4F2	26289.6126126126	1
OTOF	25869.1441441441	0
VSX2	25817.7927927928	1
LHX4	25649.5045045045	1
DSCAML1	25577.9369369369	0
C1QL2	25577.3513513513	0
FOXG1	25497.8558558559	1
PHACTR3	25458.4054054054	0
NKX2-8	25442.4774774775	1
SP8	25441.7117117117	1
DMRTA2	25420.4684684685	1
EGFLAM	25237.4954954955	0
GATA6	25236.6936936937	1
HCN4	25221.036036036	0
TBX2	25202.6216216216	1
WNT10B	25127.036036036	0
NR5A2	25109.4774774775	1
HES2	25076.1441441441	1
NR5A1	25035.5495495495	1
WNT3A	25022.4414414414	0
BLK	25010.4504504505	0
HAPLN2	25010.3963963964	0
ASIC2	24962.3243243243	0
WNT7B	24881.8468468468	0
NEUROG2	24844.5495495495	1
TBX20	24786.4594594595	1
PRDM16	24771.5945945946	1
GALNT9	24765.3873873874	0
CUX2	24764.8288288288	1
FOXB2	24752.3693693694	1
TFAP2D	24707.2972972973	1
OSR2	24668.6126126126	1
INHBB	24637.5405405405	0
ESRRB	24610.0990990991	1
MMP9	24605.3873873874	0
ONECUT2	24603.5495495495	1
CNPY1	24489.4864864865	0
SPR	24414.6576576577	0
SLC6A5	24373.4234234234	0
GJA3	24364.7387387387	0
IRX1	24240.2432432432	1
GSC	24212.7387387387	1
ISL1	24194.2522522523	1
SLC6A17	24162.8828828829	0
NFIX	23956.1891891892	1
HNF1B	23955.7837837838	0
SCN4B	23847.9009009009	0
LPO	23792.1081081081	0
FOXC2	23666.5585585586	1
NPTX1	23647.9009009009	0
IRX6	23632.7207207207	1
ASCL1	23627.2342342342	1
TBX4	23602.9099099099	1
RFX4	23602.9009009009	1
LHX6	23602	1
OTX1	23598.6486486487	1
MCIDAS	23452.8198198198	0
EPHA10	23419.1441441441	0
KCNIP1	23414.981981982	0
GBX1	23406.7297297297	1
DPYSL5	23380.7027027027	0
SLC9A3	23377.8108108108	0
SATB2	23365.5495495495	1
CDKN2A	23297.2252252252	0
CD40	23151.2432432432	0
ZBTB7C	23136.027027027	1
CCDC33	23110.1351351351	0
IRX4	23093.4594594595	1
NFASC	22976.8738738739	0
RASGRF1	22974.981981982	0
FEZF1	22971.5765765766	1
USH1G	22905.1801801802	0
MEIS3	22899.972972973	1
ACOXL	22899.4054054054	0
TAL1	22859.8198198198	1
KCNA2	22742.045045045	0
TRIM67	22689.6846846847	0
BARX2	22665.3603603604	1
TBX1	22632.8558558559	1
DNAH8	22587.7657657658	0
EOMES	22532.6756756757	1
ULBP2	22495.3063063063	0
SEMA5B	22345.2252252252	0
HOXC6	22295.1081081081	1
UNC5A	22275.5315315315	0
PVALB	22175.990990991	0
RPH3A	22147.0720720721	0
WNT3	22111.4504504505	0
NAV2	21929.045045045	0
KCNA1	21868.3063063063	0
SORCS2	21802.8648648649	0
CACNG4	21799.9279279279	0
SYT7	21782.8468468468	0
SOX14	21773.3873873874	1
CDH23	21740.0720720721	0
ADCYAP1	21700.9459459459	0
TBX18	21649.4054054054	1
EBF4	21603.0810810811	1
LHX8	21602.7837837838	1
NKX2-6	21548.4954954955	1
CSMD2	21541.3333333333	0
SLIT1	21499.5765765766	0
FOXA1	21487.0720720721	1
MYO5B	21481.6036036036	0
SFRP1	21480.9369369369	0
HLA-G	21473.4324324324	0
CCDC140	21457.2072072072	0
ALK	21379.9189189189	0
PTPRN2	21328.3783783784	0
BSX	21328.0990990991	1
PSD2	21321.6666666667	0
