	value	TF
RNF14	0.633934203807719	0
UBE2Q1	0.218176635338559	0
RNF17	3.49030957258178	0
RNF10	0.55013765553962	0
RNF11	0.652610952859777	0
RNF13	0.467060566388188	0
REM1	1.59639700267084	0
REM2	1.55043756943712	0
HSD17B13	6.17323196575434	0
UCHL5	0.359835589615747	0
DUOXA2	3.89038158818768	0
MZT2A	0.713965972544465	0
MZT2B	0.630823380023952	0
ATRX	0.709626278331527	0
PMM2	0.589915260010631	0
PMM1	0.664885036304104	0
ASS1	3.54371709621882	0
NCBP1	0.413568721127313	0
SPX	2.35693196802375	0
ZNF709	0.856955333688849	1
ZNF708	0.730569192687424	1
ZNF879	0.56461687199526	1
ZNF878	1.47442090825471	1
ATRIP	0.40171580227857	0
CAMK1	0.741518532634007	0
ZNF701	0.444083164928085	1
ZNF700	1.00008858261609	1
ZNF707	0.672429301693256	1
ZNF706	0.465352900103995	0
ZNF704	1.50067411888573	1
ZC3H10	0.470072698516347	0
ZC3H13	0.965232658672911	0
ZC3H15	0.439828436451843	0
ZC3H14	0.411809586690543	0
SPN	3.15056229221455	0
RNF111	0.40268466758651	0
ZC3H18	0.337965100105826	0
GRIN1	4.72327268815308	0
SP8	2.86646671651817	1
DHX9	0.548306775283446	0
TCOF1	0.690195817153002	0
NSRP1	0.795476371370864	0
NUP98	0.45318109531228	0
XPC	0.552263388242627	0
SP1	0.368465753493756	1
XPA	0.732793521393864	0
SP3	0.562711783785273	1
SP4	0.827137152164068	1
SP5	3.49174269502162	1
SP6	4.11196126689682	1
CAMKV	3.52629934604817	0
SPPL3	0.332887934333203	0
GOLIM4	0.780872466149135	0
OPA3	0.519048991541963	0
PRR27	3.5690083119513	0
OPA1	0.403744881664428	0
RHEB	0.555362103896622	0
RAB40C	0.808115751301358	0
RAB40B	1.05346497312067	0
RAB40A	1.1331619352019	0
FBL	0.499238844262062	0
COL7A1	1.8006627942383	0
CLRN1	4.04041298821237	0
FAM187B	2.41330554907825	0
KLLN	0.674465688866426	0
FAM183A	3.05796225986671	0
B2M	1.21507064168424	0
OVCH1	1.61122274029543	0
FLG2	5.73166801437084	0
RPRD2	0.423478116207957	0
SLC7A11	1.48545520712448	0
SPPL2A	0.683819765168318	0
SPPL2C	6.08364679289573	0
SPPL2B	1.03834990242317	0
LINC01804	2.90765341049368	0
NOP9	0.396250776433028	0
ITGA9	1.37186522942282	0
UGCG	0.68255890579328	0
MYO3B	3.15247134381057	0
ATP2A1	6.62431090982967	0
ATP2A2	1.46997049608838	0
ATP2A3	1.57647540368248	0
ITGA1	2.15006493983327	0
ITGA2	1.92355415179	0
ITGA3	2.31804830497665	0
ITGA4	2.22126643785272	0
ITGA5	1.19322883086635	0
RIT1	0.640010538217422	0
ITGA7	1.97060060651388	0
TRHR	3.11921262183264	0
DENND4A	1.10660979505335	0
DENND4B	0.692489473760124	0
DENND4C	0.527970888524123	0
SWAP70	0.719561632355478	0
PREB	0.502120410251064	1
PHLDA1	1.52883437810494	0
PHLDA3	1.14221013196609	0
PHLDA2	1.86833507019949	0
GAP43	2.42474651581881	0
PAMR1	2.15241968897622	0
KRTAP17-1	2.91154080645482	0
HRH4	3.50888243090904	0
FBXL12	0.326676764412752	0
FBXL15	0.728644716511073	0
HRH3	2.19921432183041	0
FBXL17	0.565149136898641	0
