gene	sample_1	sample_2	sample_3
CTD-2588J6.1	3.270382e-05	4.8359155e-05	2.287824335e-06
RP11-433M22.1	3.84667e-05	0.001584609	0.000355253
CTD-2588J6.2	0.0016490395	0.010874698	0.003975261
TAS2R60	0.0003770693	0.000142098865	0.0002994255
RP13-100A9.2	3.426713	3.3301315	3.137346
RP3-415N12.1	3.93042e-05	0.001154449	0.00019448783865
RP11-16E12.2	0.04116846	0.098888145	0.1548961
RP11-433M22.2	0.160258156	0.27623475	0.30441305
PSMA2P3	1.4536385	1.6786795	1.7247655
RP11-181G12.4	0.5268889	0.164235965	0.464946455
RP11-181G12.5	0.071045525	0.9837741	0.67272095
AC007272.1	11.17697	7.92319	10.243355
RP11-181G12.2	1.7488235	2.1880665	3.312214
AC007272.3	0.0008125703	3.31072525e-05	7.937759e-05
CTD-2367A17.1	8.983815	9.6347875	16.980905
PPIAP28	0.0013366475	0.001333807	7.686725e-05
AIMP1P1	0.000284864495	1.608602e-06	3.81393155e-07
CPHL1P	0.201937065	0.2176442	1.32295865
CTD-2333K2.1	0.0020460106765	2.79123355e-05	0.0002138385
AC016683.5	0.00039402323	0.003297828428	3.56345e-05
RP1-20N18.4	0.021950818	0.0113882165	0.00022542275
TCOF1	30.647235	18.273655	17.371065
NSRP1	9.607433	9.8082955	11.477975
SPPL3	23.737075	21.56352	17.938475
AF001548.5	1.01248655	1.1485535	0.95985855
AP000867.14	0.04558939	0.0132862985	0.02972251
OPA3	1.982045	1.572362	1.7146885
OPA1	22.77643	16.341785	22.34417
RHEB	40.079935	38.163955	48.71503
RP1-278O22.1	0.0775947085	1.84668255e-05	0.00444469
AC090587.5	0.63426345	0.54373955	0.44854865
AC090587.4	0.1105085	0.11525145	0.29895325
RP11-489D6.2	0.19977565	0.3494816	0.19257115
AC090587.2	0.25057715	0.2156312	0.2989589
RP11-666A8.7	0.6220661	1.508213	0.9065662
RP11-666A8.8	0.1324985	0.50596925	0.7126749
AL359853.1	5.581464	11.109395	5.0043315
RNU6-1209P	0.0221868	0.29950506	0.2777344055
RNU4ATAC18P	10.115373	6.4898935	7.827815
AC073127.1	19.70143	12.604045	17.613595
RNF219-AS1	0.3447942	0.322603	0.1766224
RP11-626A1.1	0.39015885	0.265736395	0.2936167
RP11-61E11.2	0.14031155	0.0005477665	0.064628726
RP11-61E11.1	0.0055785365	0.00047950545	0.0050183633
ITGA8	4.6217115	10.0539175	4.4678875
ITGA9	1.8125655	30.34623	31.625825
LINC00520	0.0147462875	0.13483115	0.147907805
RP11-146D12.2	0.14698125	0.10713651	0.22241444
ITGA1	1.873112	3.497509	1.4972315
ITGA2	0.6409469	0.2635549	0.1318706
ITGA3	12.10516	8.8329035	16.546255
ITGA4	0.6249826	1.30776305	1.1370693
ITGA5	32.689155	125.98155	133.9332
ITGA6	6.157865	2.1277185	2.4006845
RP11-146D12.5	0.0002675756	0.0004209145	0.000484595
TRHR	0.0003218755	0.0004336825	0.0100464855
ARF4	74.71855	84.64595	126.36045
AC010468.3	0.0001359355	0.00166708325	0.00013246995
AC010468.2	0.00021631911	0.000185943	6.928045e-05
AC010468.1	529.2426	595.55735	580.16905
CA15P1	0.000167047	4.41457575e-05	0.00034563515
CA15P2	0.00054775395	0.0026427705	0.0009198785
UFSP1	0.3889252	0.117750595	0.18348255
UFSP2	17.18769	25.49145	37.957185
RP11-566K19.4	4.600511	14.326735	9.0229195
RP11-566K19.5	0.112344895	0.12342175	0.2693316
RP11-566K19.6	6.1032955	13.810715	25.4113
RP11-566K19.3	0.092862345	0.09721743	0.08063309
RP11-566K19.8	4.6019815	2.706105	2.84892
RP11-566K19.9	0.004433416	0.022268803	0.010067131
AP002348.1	12.1838	14.003015	12.011915
RP1-200K18.1	0.062189282	0.026386835	0.017576795
RP11-379H18.1	0.8571947	0.43658925	0.25283385
TEX28P2	1.4699215e-05	2.528815e-05	0.0513694116755
TEX28P1	0.00024279788	1.3533375e-05	0.0516291515
FAM212B	2.4435685	1.9428075	2.7641625
FAM212A	0.4430825	9.6914955	9.8700335
CHST9	4.3287645	0.6502057	1.0283039
CHST8	3.048175	3.5382365	3.51518385
CHST1	2.8956475	2.4155945	1.995678
RP11-155G15.3	0.0026254962	0.0014736255	0.001437562
CHST3	1.648205	2.6008925	2.795076
CHST2	0.2599813	1.093314	2.1416975
CHST5	0.2813236	0.2555901	0.364686
CHST4	0.049068335	0.026946625	0.02329907
CHST7	0.1907043	2.9417335	2.1713215
CHST6	1.618449	0.57773355	1.200324
ITGAX	0.05859362	0.16198945	0.73797495
RPS4XP3	152.1476	173.148	182.797
RPS4XP1	47.97528	50.056785	45.178315
RPS4XP6	95.163025	116.4529	117.2341
RPS4XP7	43.014265	49.28656	47.659985
RPS4XP4	0.0008888055	0.083707287	0.05436071
BCL2A1	0.2346959	0.27291115	0.195855
RPS4XP8	16.242325	24.955495	19.25858
RPS4XP9	0.272382	0.61143605	0.5821513
RNU4-76P	16.18014	11.864845	8.3151615
ITGAV	22.735085	24.46221	24.84612
RP11-16L9.1	22.0839	24.34333	21.85805
AC004448.5	0.05326578	0.0492207	0.17233535
ITGAL	0.26243315	0.35815685	0.37771375
ITGAM	0.130157685	0.063092075	0.17628874
AC004448.2	0.001017909063	0.001366549	0.0002095295
ITGAD	0.059815413	0.000564968	0.0605229095
ITGAE	9.259827	7.751881	6.731886
CITF22-24E5.1	0.0034611195395	0.000627355	0.0012884533
AC084149.1	0.028995268	0.004633452	0.03518415
AC084149.2	0.184170391	0.2569279615	0.2701847
ATP1B3-AS1	0.22018785	0.8099617	1.523188
SEPHS1P6	4.573346	3.7556895	3.3916795
IGF2R	26.60105	25.561425	34.455545
CTD-2587H24.5	0.044199445	0.013882702	0.05100439
CTD-2587H24.4	0.05721222	0.01457778	0.032378625
RP11-54J7.2	0.00020226704	3.0939665e-05	5.87891e-07
SLC36A4	6.9081625	7.858672	14.258805
SLC36A3	0.0196718255	0.02053905	0.01911467
CKS1B	310.51555	187.4086	276.83165
SLC36A1	3.3932655	2.071705	2.9268295
RP11-562M8.4	0.0002740801	7.00808e-06	0.0059545005
AC114973.1	0.00033577803	1.556756e-05	0.0006276515
RP11-45O22.1	1.2747105	1.492771	1.5700305
RP11-45O22.3	0.0001937104	0.0001235723805	3.48201545e-05
C14orf119	26.272635	33.349145	35.4139
ART1	0.061392591	0.009571324	0.006612856
ART3	0.37349235	0.77984535	0.93535585
ART5	52.942615	16.764045	32.80654
ART4	4.286767	49.84453	17.834275
AC009120.4	0.0035273215	0.0061772205	9.2864337785
HCAR3	0.0002427783685	0.00357184882	0.00037836656995
AC129492.6	0.114955945	0.040589855	0.1703525
CRTAM	0.20817285	0.16869863	0.133485
RP11-170L9.1	0.0050585165	5.57252e-05	0.00406181525
DPYD-IT1	0.7728636	1.359261535	1.1603355
CADPS2	3.972142	1.7704675	1.5249465
RLF	3.8437425	3.188084	4.2286245
RP1-15D7.1	3.9525105	4.4768725	3.8104645
RNU6-590P	5.698058	9.2216495	3.384885
CTD-3116E22.7	0.260905945	0.176078425	0.25279545
CTD-3116E22.6	0.1551693	0.2742661	0.3651653
CRTAP	52.572675	144.60155	127.5948
RP11-85D18.1	0.0012976568	0.00042576215	0.00040947374
ADPGK	15.524865	10.57452	8.964893
HPYR1	3.982245e-05	0.000192935505	0.000138593
CPEB4	3.8723815	1.841219	3.472004
RP11-841C19.3	44.494875	46.9511	46.34215
RP11-841C19.4	0.0419045915	0.016864167	0.0137714455
CPEB3	0.183575	0.23819655	0.2423156
CPEB2	2.0289805	1.862064	3.4105955
SRBD1	5.183322	4.352078	3.554934
ABAT	2.2191605	1.3456245	0.75577325
AP001877.1	1.549293	1.591752	4.235125
RP11-418B12.1	6.46978e-06	0.0003005205	2.800825e-05
CTD-3065B20.1	216.28445	167.60635	149.72765
CTD-3065B20.3	0.0625069725	0.0024334325	0.0706312395
CTD-3065B20.2	0.24538008422	0.07148592	0.2464656955
RP11-795J1.2	0.001253693	0.0007245815	0.004296916
RP11-795J1.1	0.0013320122	0.0010960577	2.13703245e-05
POU5F1B	1.375846	8.8401125	3.4371825
AP001063.1	0.0002406455	9.88612675e-05	1.05266505e-06
GDNF-AS1	0.20474619	0.083367245	0.1806788
RNU7-189P	5.9786765	4.324878	5.9930975
AC006482.1	0.002495953	0.0043922425	0.00335406
CTB-161K23.1	0.0149743	0.03281442	0.0144546445
RP11-196O16.1	0.4702404	0.8834544	0.76141525
RP11-300J18.2	0.0146926595	0.16155196	0.137978155
RP11-300J18.3	0.4221404	0.047790255	0.05708599
RP11-300J18.1	0.003191815	0.005204358	0.003228417
PHOX2A	0.086852655	0.4325905	0.051446085
RN7SL734P	0.002741561	0.0035143585	0.0003415965
PHOX2B	0.002341332	0.0004428055	0.0004701395
UPK2	0.07042018	0.34640075	0.3243517
CFH	0.015334875	0.05227634	0.036051985
CFI	0.1252575	0.132139235	0.24535815
CFD	0.50870865	0.2997838	0.185833405
MESTP2	0.0269024895	0.21822045	0.10425008
CFB	0.01201137	0.01632792	0.0110715085
TPT1-AS1	18.447825	30.192985	34.63115
RP1-29C18.10	1.94321e-05	0.0049538982585	0.0110344995
CFP	0.61910955	12.91358	14.632935
RNU5B-1	7.3725895	6.9290425	7.108982
RP11-509A17.3	0.0073406675	0.034251475	0.04623485
AAAS	45.0678	39.569065	43.55365
RNU6-767P	8.413417	9.3779115	6.4562705
AJ271736.10	2.663692	2.3872745	3.13682
SIDT1	0.94479155	1.0522041	1.601842
AP003900.6	0.022313891	0.0551072075	0.013585098
SIDT2	15.913515	33.624625	43.10296
RP11-2N1.2	0.61898195	0.08774153695	0.2751235
RP11-702H23.2	0.27045309	0.3227652	0.4769368
RP11-702H23.3	0.005316663	0.0006357445	0.0024119935
RP11-78O9.1	0.001203194155	2.647367e-05	3.929064e-06
RP11-702H23.6	0.11665055	0.12337015	0.10198855
RP5-1065J22.8	1.02399455	0.93354535	0.9417699
SAGE1	0.0019496875	0.0022820655	0.001249805
RP11-89K11.1	1.2096885	2.975295	2.545183
AAGAB	17.40845	10.148485	11.187195
AC093802.1	0.005488202	0.036915015	0.02584984
C4orf19	0.4467216	0.6332176	0.4195922
AL096700.1	20.13483	10.84792	10.145151
SLC7A6OS	4.8388625	4.8743795	5.2209355
RP11-128P17.3	7.404704e-06	0.008347610405	0.002478472
