Blood(T_helper_naive_cells)	Brain(Germinal_Matrix)	Heart(Right_Atrium)
A1BG	3.065	1.983	4.45
A1CF	0.073	0.0	0.0
A2M	0.402	24.878	137.612
A2ML1	0.002	0.394	0.166
A4GALT	0.006	0.199	42.44
A4GNT	0.024	0.0	0.006
AAAS	12.397	36.851	12.696
AACS	2.594	3.098	2.428
AADAC	0.0	0.0	0.041
AADACL2	0.0	0.0	0.014
AADACL3	0.0	0.0	0.006
AADACL4	0.0	0.0	0.0
AADAT	0.029	18.335	1.234
AAED1	4.434	1.228	10.104
AAGAB	8.124	2.23	6.885
AAK1	62.15	13.05	4.018
AAMDC	2.795	7.934	42.186
AAMP	18.069	24.709	29.215
AANAT	0.233	0.072	0.017
AAR2	22.087	12.372	11.73
AARD	0.0	0.416	0.028
AARS	10.665	29.972	39.914
AARS2	9.836	6.63	5.326
AASDH	4.597	5.375	2.416
AASDHPPT	8.143	16.549	14.056
AASS	0.776	7.998	5.773
AATK	0.083	4.263	6.65
ABAT	5.0	46.073	8.773
ABCA1	4.877	4.774	3.59
ABCA10	0.679	0.098	6.292
ABCA12	0.007	0.2	0.003
ABCA13	1.09	0.01	0.004
ABCA2	10.348	18.332	15.222
ABCA3	3.555	28.561	7.216
ABCA4	0.002	0.181	0.051
ABCA5	11.451	1.568	4.902
ABCA6	0.163	0.045	17.312
ABCA7	36.523	1.056	3.533
ABCA8	0.0	0.33	27.048
ABCA9	0.141	0.2	15.124
ABCB1	5.255	0.682	0.215
ABCB10	11.44	4.596	5.401
ABCB11	0.0	0.507	0.056
ABCB4	0.061	0.201	1.781
ABCB5	0.005	0.006	0.002
ABCB6	2.032	11.12	7.411
ABCB7	14.227	13.696	14.139
ABCB8	10.839	9.484	5.726
ABCB9	5.267	1.439	1.696
ABCC1	44.463	9.415	10.976
ABCC10	12.034	6.294	4.659
ABCC11	0.078	0.099	0.018
ABCC12	0.0	0.085	0.003
ABCC2	2.175	0.242	0.181
ABCC3	0.034	0.005	0.525
