	Blood(T_helper_naive_cells)	Brain(Germinal_Matrix)	Heart(Right_Atrium)
A1BG	0.008059178900858537	0.006280681756778532	0.009744106976712222
A1CF	0.00027847821321769683	0.0	0.0
A2M	7.800106276867326e-05	0.0007510159364827811	0.0011384327244910546
A2ML1	8.465243140668874e-07	0.00014073863700441038	6.506919860136177e-05
A4GALT	2.078353387848218e-05	0.0006305440027541264	0.01310292190826016
A4GNT	7.288017870058237e-06	0.0	1.8382727787003836e-06
AAAS	0.00025229669271606235	0.00035327509173623277	0.000254442697866852
AACS	0.0003656499452365524	0.0004031600821454937	0.0003521334869969886
AADAC	0.0	0.0	1.0829633479833518e-05
AADACL2	0.0	0.0	2.6066861101495095e-06
AADACL3	0.0	0.0	1.6166433434529374e-05
AADACL4	0.0	0.0	0.0
AADAT	1.3437706207427342e-05	0.0013922668831974207	0.00037782806832475273
AAED1	0.00028542402278176557	0.00013508461414203133	0.0004059270592265598
AAGAB	0.00042865231453772054	0.00022732158582718304	0.0004003561945302794
AAK1	0.000923309862616075	0.0005885784003544756	0.00035926262899635414
AAMDC	0.0001813509002388207	0.00029777198038682804	0.0005120250171366871
AAMP	0.0001510860200113519	0.0001663981197696476	0.00017467473596118936
AANAT	0.00014384791075477485	4.774966889654814e-05	1.157726653586256e-05
AAR2	0.0002938894697907211	0.00024276451707542295	0.0002381584078089624
AARD	0.0	0.0008232618630476914	6.53598654796834e-05
AARS	0.0002598626752798996	0.0003631575582214931	0.00039260600308471287
AARS2	0.005394260952237096	0.004600164534081604	0.00417589077405367
AASDH	0.00013968378456458906	0.00015024004293290517	9.963669407941157e-05
AASDHPPT	0.00011938790335490295	0.00015456292339879806	0.00014629687950676995
AASS	0.00017190364869409572	0.0006575498299012548	0.0005725328842185529
AATK	0.0009167464340752441	0.01909377964064241	0.02339386587083846
ABAT	0.001325665725356088	0.0028497497661918083	0.0016866207590092864
ABCA1	0.0006138365869291509	0.0006077083131860795	0.0005281698425702136
ABCA10	9.848952681914969e-05	1.776890866905947e-05	0.0003776098484364376
ABCA12	2.8817776026056615e-06	7.53209966454187e-05	1.2375098468125627e-06
ABCA13	0.001086401220475301	1.4664376740463977e-05	5.883272095802102e-06
ABCA2	0.0023118234159171117	0.002818836206567717	0.0026519067467142116
ABCA3	0.005982650373851656	0.01336211625210085	0.008310083704337931
ABCA4	5.063261407740448e-05	0.004215870012842226	0.0012605449378848162
ABCA5	0.0008596203137669555	0.00032148907796643756	0.0006051534121338453
ABCA6	3.4749135928187945e-05	1.0129269057339936e-05	0.000669093749960801
ABCA7	0.0007552499818877487	0.00015016900578794601	0.0003148930145849735
ABCA8	0.0	0.00010067831149401986	0.0011769914168020333
ABCA9	3.9052089060416395e-05	5.397849852210773e-05	0.0008231440073989756
ABCB1	0.016926162761589977	0.004800598296405732	0.0017979185351496613
ABCB10	0.0003035035169200577	0.00020732488910085115	0.00022350611612087217
ABCB11	0.0	0.0004771742403558976	6.339681097917154e-05
ABCB4	8.244336026127797e-05	0.0002550143851922585	0.0014241055974060183
ABCB5	9.505901250081856e-06	1.140140538415931e-05	3.8080517158070236e-06
ABCB6	6.739369247593191e-05	0.00015158151679099587	0.00012938575730343427
ABCB7	0.0014636475724925662	0.0014445691412193306	0.001460532243044531
ABCB8	0.0010355058728518803	0.0009845774021333563	0.0007985978733998251
ABCB9	0.00036813062154778	0.00017883794861034226	0.0001989326283670456
ABCC1	0.0008998487372652065	0.0005524296103109176	0.0005853544261072964
ABCC10	0.00022798775715915495	0.00017644117979854847	0.00015390446063175725
ABCC11	9.964992582935634e-05	0.00012524746197050676	2.36693694971866e-05
ABCC12	0.0	0.00023480370403532346	8.621680756005247e-06
ABCC2	0.00034898160564349423	6.546510440005004e-05	5.025251694811747e-05
ABCC3	0.0007607830293493941	0.00011348773295167856	0.009602163472709249
ABCC4	0.0005372876665481769	0.00023516439312239342	0.0002710393857133818
ABCC5	0.0006018629390134865	0.000864338675241248	0.0008375233721547315
ABCC6	0.00020349032152644215	2.240814107755078e-05	0.0003629040935834209
ABCC6P1	1.0317422962051477e-06	0.0	3.895431267380992e-05
ABCC8	0.0	0.07056184656904275	0.04439286711445568
ABCC9	5.419946990142349e-05	0.0024836187637021128	0.004686482020817603
ABCD1	0.0010687632784132383	0.00137241111264297	0.0015936069412357126
ABCD2	0.0004907471128059966	0.0002893751851797632	0.0004195732234737117
ABCD3	0.0009924703298672018	0.0011252642350284498	0.0013420922593042218
ABCD4	0.00031550765983945437	0.00030791488536452416	0.00021011380355621457
ABCE1	0.0001986496427575197	0.00014121943801194908	0.0001482517126191238
ABCF1	0.0003165608308058512	0.0002740009289468912	0.0003063275362186856
ABCF2	0.0007833298981621512	0.0007040024229609789	0.0008975369400877914
ABCF3	0.00019775582770964698	0.0001537759459713768	0.0001856449542343785
ABCG1	0.04620555247511067	0.03768300710149136	0.03376418229342769
ABCG2	0.0001379599042617453	0.0012210980404529386	0.000672978970842686
ABCG4	0.0003979347183682587	0.007282584745126206	0.005255656428550428
ABCG5	3.2096535795616505e-05	3.2096535795616505e-05	4.228127983942297e-06
ABCG8	0.0005005605681760945	0.0015053837815823573	0.00030239791235481267
ABHD1	7.492495957597687e-05	5.8423306956544085e-05	0.000145007353146535
ABHD10	0.0001835900185824352	0.0001941189524778874	0.00020788032374515392
ABHD11	0.000255581958216907	0.00021724061288861106	0.0003771225853460481
ABHD12	0.00032767143677359345	0.0004898537147456688	0.0004169401536466501
ABHD12B	4.584253645209536e-05	6.100266289505466e-05	6.100266289505466e-05
ABHD13	0.00013456159412754052	4.786911159615154e-05	8.61097771344373e-05
ABHD14A	0.00031115306634964246	0.0003450719988425879	0.0003864251059113704
ABHD14A-ACY1	0.0002813413574932279	0.00031282581711659875	0.0004398222586604177
ABHD14B	0.000494433703445184	0.00018239162588262774	0.0003335026918409465
ABHD15	0.0005458563865978591	0.0002123331398675375	0.0005590985584802093
ABHD16A	0.00020119211524297951	0.00027472961641428055	0.00021870136835980847
ABHD16B	0.0012379978330272503	0.0002945597126905184	0.00036007287897959334
ABHD17A	0.00021155649203643558	0.00021401694945372726	0.00025187185120863627
ABHD17B	0.0002914636858055472	0.0002075785639107235	0.00016573844153342722
ABHD17C	8.908854584747118e-05	0.0006777486016387188	0.0003764294243024858
ABHD18	0.00024504527656700237	0.00012189019728153704	0.00014022344369862225
ABHD2	0.0003646539804959416	0.00036946127556890403	0.00043056460308204874
ABHD3	0.0008997967121565536	0.0006166145523856799	0.0005050687162242328
ABHD4	0.0004843458946463273	0.001094496094315734	0.00089786444167704
ABHD5	0.0001627209211454206	0.00021313457287617057	0.00027092499518104854
ABHD6	0.0009871880683397114	0.00226682160361689	0.002840150546714097
ABHD8	0.0001444948120308929	0.0002531871601861246	0.00022187570121576664
ABI1	0.0010910122011875117	0.0009662279572702465	0.0006662667286456991
ABI2	0.00029965671037912687	0.00046130175213635906	0.00034930043776288197
