	Blood(T_helper_naive_cells)	Brain(Germinal_Matrix)	Heart(Right_Atrium)
ABCC8	0.0	0.07056184656904275	0.04439286711445568
ABLIM2	0.024427014078649664	0.05572853968894472	0.039182595576997874
ABR	0.10289569525093066	0.120886966260867	0.1241014490416708
ACAN	0.013192619447575936	0.013192619447575936	0.023055983387635273
ACOXL	0.0025902407785453035	0.0	0.0014198415713048077
ACTL8	0.0	0.002085220329649982	0.0
ACTR5	0.10431772138409827	0.08523165723685569	0.059145214487851615
ADAM33	0.0	0.059849615787186096	0.12449006561868503
ADAMTSL2	0.016109920949830367	0.029940169744949438	0.12008048867454744
ADARB2	0.11378611554858464	0.13077195150954424	0.03141189678259825
ADCY5	0.006684944648523108	0.11169780835288466	0.20831888253141181
ADCYAP1	0.001697251440890733	0.010818561778871527	0.005717248203674613
ADCYAP1R1	0.0	0.09886575365670192	0.02112849889194502
ADD2	0.08121165308401486	0.19416258384689075	0.009584352630750902
ADGRA1	0.0	0.16400352882278552	0.0009819541738793692
ADGRB1	0.06230167791379477	0.21191102795592787	0.019056088980819133
ADORA1	0.0	0.1252116579387382	0.2917439032508478
ADRA1B	0.0	0.09063734973276924	0.07058756949773058
ADRA1D	0.0	0.02776297950366627	0.0029639042908208646
ADRA2C	0.0	0.04387692362851238	0.06590938435855874
AGAP2	0.1474085501670269	0.15800709121733647	0.048762553249730105
AGBL4	0.0005435892761030969	0.009196128505118095	0.011511323445246214
AJAP1	0.017561419419883026	0.046102931993811096	0.0031263359847810523
AK8	0.002770198863738542	0.033310120367379924	0.011984148269170481
ALDH1A2	0.0	0.004709019454684648	0.21221096619821747
ALDH1A3	0.0020097398200827447	0.0030639832746959025	0.12003984060725223
ALK	0.012339754867060715	0.07394878442403668	0.0021618703157536504
ALOX12B	0.057034059994527715	0.02542067753502379	0.004290283498299192
ALX1	0.0	0.001898466647054678	0.0
ALX3	0.08104606659709045	0.011020187653978265	0.0051699617007090175
ALX4	0.051889720179743214	0.07240349208460337	0.037079195818880105
AMMECR1	0.08689610304996613	0.06154200851540655	0.02217440106229817
ANK1	0.07526040330564901	0.08931376919707248	0.6522383699426055
ANKRD34C	0.0	0.0010213653320339476	0.000634772517069605
ANKRD60	0.0	0.0	0.0
ANO1	0.0	0.002380533189917211	0.1290776227366355
ANO2	0.0	0.022236507971598485	0.06288997930257441
APC2	0.032413685623217454	0.28163826021372235	0.01710125068656192
AQP5	0.0	0.04866623350145624	0.10493865487063397
ARHGAP29	0.0	0.03336431122893227	0.09988397185233978
ARHGAP36	0.0	0.027541243434304294	0.004757386689580366
ARHGAP40	0.0013781655824698607	0.005813907706010892	0.0
ARHGAP6	0.000775639577157353	0.021926912629335178	0.030118469865125803
ARHGEF7	0.12890491262526887	0.14706407435500682	0.09285557223900884
ARX	0.0033148899468306726	1.0850808533341998	0.0
ASB18	0.0	0.0025088263648123466	0.028599693771312922
ASCL1	0.0	1.0876764253092077	0.0
ASCL2	0.0014989388698919493	0.0480553104602464	0.010304055181715234
ASCL4	0.0	0.0	0.0009168390994940804
ASIC2	0.0	0.3437193955535733	0.00046168336316359143
ASIC4	0.0060036949585275355	0.13690246011404475	0.035396899523289824
ASS1	0.0	0.08167238532189691	0.1307247278631469
ASTN2	0.011672830782071672	0.08591512932348629	0.10257408442853677
ATOH1	0.0	0.000595871661450109	0.010840757435592015
ATOH8	0.0	0.05107197475900029	0.18991760019816253
ATP2B2	0.00725495479415674	0.16308027299490252	0.02127131393233621
ATP2B3	0.0006652182782315656	0.045163471177525734	0.0005234480123254137
ATP6V1B1	0.003422295046880035	0.007772817167130692	0.023120740394543097
ATP8A2	0.013998283607643032	0.06432405727570463	0.0050029630682523595
ATP8B3	0.034267561414346906	0.007834380533864843	0.027609124516143963
AUTS2	0.02453168052224326	0.11295127153706748	0.04362009931741767
B3GAT1	0.007308110831583064	0.15722646983428681	0.003758253319982712
BARHL1	0.014146528489351549	0.024093753882508683	0.0
BARHL2	0.0	0.0	0.005996495287150447
BARX1	0.0	0.0046137447168627015	0.0072216537851339515
BARX2	0.004530455632519095	0.0	0.0
BCAN	0.0025344712245039297	1.6263972623542005	0.022032018874015014
BCL11A	0.013914375123701207	0.3085797456372697	0.06449371937266911
BCL11B	0.5674196289876287	0.3991973312683573	0.007869966710440079
BCOR	0.0840372258796864	0.16801022813356317	0.0891775724562551
BDNF	0.007562954079743155	0.002181608648954113	0.0013066089207013634
BEAN1	0.004350171035292841	0.0422174098213838	0.010398609263966525
BEGAIN	0.010619279356900142	0.14241422273412468	0.03875983582234406
BHLHE22	0.0	0.007537810377692288	0.005428098136459202
BHLHE23	0.0	0.020725233087329577	0.008948509482145518
BHLHE41	0.0032386724741728366	0.0494156817906952	0.0826332183362982
BICDL2	0.0	0.00091104757907671	0.0019189820314805945
BLACE	0.0	0.0	0.0
BLK	0.02355561442594713	0.0015847181599980566	0.0013219077271787224
BMP3	0.0	0.006831492617743719	0.0009178509492983173
BMP4	0.0	0.03521179070631434	0.142570375429834
BMP6	0.002639742895743869	0.13503203385233523	0.11197819539261458
BMP7	0.0	0.35392594512817327	0.34812276338221676
BNC1	0.0	0.0005145890804721236	0.013769203796877964
BRINP2	0.0	0.1275851819019266	0.009439530193751442
BSX	0.0	0.0	0.0
BTBD11	0.1907805377932258	0.024240386497478606	0.018471763460702423
BTNL9	0.008869926194154684	0.14969035849685014	1.0154049829063667
BUB3	0.7061733376492781	0.6434105266224676	0.5021535617855777
C10orf11	0.005889845281954299	0.02076524247450598	0.1393637403157374
C10orf53	0.0	0.00015404438884085341	0.0
C14orf180	0.0	0.001282638954737341	0.19000615304859916
C14orf39	0.045870290474557894	0.0001506165418291349	0.0008475890724668743
C15orf59	0.0	0.10036716842462154	0.18514981407640987
C17orf102	0.0	0.019949379112172493	0.0
C1QA	0.002286910266360976	0.1574723714563753	0.25309529960810134
C1QB	0.0	0.15105763463965555	0.17193690282125276
C1QC	0.0	0.1570696811874642	0.15882997316343778
C1QL1	0.0	0.2058504654215504	0.06039546164154269
C1QL2	0.0	0.5039710002703348	0.0017588018375646183
C1QL4	0.0	0.1533755298357436	0.0
C1QTNF8	0.0	0.002234392176141028	0.0037573125027464886
C1orf61	0.0	2.0633834247133778	0.0
C1orf94	0.0	0.0992860006802563	0.00043599958533837565
C22orf34	0.09135178184215562	0.002079168755347786	0.01780858854830241
C2orf70	0.0	0.07828267381564731	0.022014066076689234
C5orf38	0.0	0.011171955582395697	0.01234725449119613
C5orf66	1.291616660835923	0.12715476913962345	0.15308264548401987
C9orf62	0.0	0.0	0.0
CA4	0.0	0.04836553811045177	0.31935647331172723
CABP7	0.05781948450130874	0.05212233980197875	0.011453104427013664
CACNA1A	0.006483234171201646	0.07374203689757869	0.015766121309515668
CACNA1B	0.0	0.16408088781386687	0.0034768430594878837
CACNA1C	0.019809279826139597	0.10078387100712961	0.18669256344515445
CACNA1D	0.0005398516210584085	0.02527667462595221	0.03745105055392483
CACNA1E	0.000255401675868997	0.2770621834101859	0.039399263790624424
CACNA1G	0.0001356085936416773	0.10546813338776143	0.10314736961778408
CACNA1H	0.04115699064118575	0.12416830587472413	0.09718078181646335
CACNA1I	0.5397990249671254	0.07759206239647438	0.009275632952102156
CACNA2D2	0.057314571007634506	0.09467813221693218	0.13341591333350117
CACNA2D3	0.00031516950101172296	0.058637002019108805	0.11073698119892211
CACNA2D4	0.06591881548165354	0.0017942181602230765	0.017250505345249214
CACNG2	0.0	0.34657302493342257	0.0
CACNG4	0.004596025640296726	0.4997833953563847	0.013872748040121083
CACNG6	0.0	0.0036305212151715245	0.00037914984951403893
CACNG8	0.0	0.0707586522651999	0.007424946894169165
