#gene	sample	DS	Expression	RTS	p_exp	p_rts	p_combined
GATA3	Blood(T_helper_naive_cells)	1.3578628377351423	3.3006769855566005	0.411389191877	9.999000099990002e-05	9.999000099990002e-05	1.9416997140355032e-07
C5orf66	Blood(T_helper_naive_cells)	1.291616660835923	3.1233776273896607	0.413532020435	0.0103989601039896	9.999000099990002e-05	1.5364476379283504e-05
RNF220	Blood(T_helper_naive_cells)	0.8591534166072028	2.8233412454369446	0.304303781201	0.020997900209979003	9.999000099990002e-05	2.9549013628578844e-05
SKAP1	Blood(T_helper_naive_cells)	0.7827861442542637	4.6838334811710585	0.167125101138	9.999000099990002e-05	9.999000099990002e-05	1.9416997140355032e-07
BUB3	Blood(T_helper_naive_cells)	0.7061733376492781	4.231378148334793	0.166889678231	0.020997900209979003	9.999000099990002e-05	2.9549013628578844e-05
BCL11B	Blood(T_helper_naive_cells)	0.5674196289876287	4.472712502445898	0.12686253111	0.008399160083991601	9.999000099990002e-05	1.2589135752450336e-05
CACNA1I	Blood(T_helper_naive_cells)	0.5397990249671254	3.5006806601471054	0.154198305236	0.038396160383961604	9.999000099990002e-05	5.171537102508414e-05
SLFN12L	Blood(T_helper_naive_cells)	0.5340266548958871	3.571362008185478	0.149530250272	0.029797020297970205	9.999000099990002e-05	4.088870784693752e-05
LHX4	Blood(T_helper_naive_cells)	0.5021809044250812	1.9246865126036865	0.260915687379	0.06579342065793421	9.999000099990002e-05	8.507341124830669e-05
GNAS	Blood(T_helper_naive_cells)	0.4911398875755145	4.68246450491434	0.104889185398	9.999000099990002e-05	0.0117988201179882	1.7283774481461077e-05
ROBO3	Blood(T_helper_naive_cells)	0.4749940590389017	1.5056317437085112	0.315478244281	0.06369363063693631	9.999000099990002e-05	8.256487376888372e-05
METAP1D	Blood(T_helper_naive_cells)	0.47496635060871323	2.0672424342228384	0.229758417661	0.049295070492950704	9.999000099990002e-05	6.516339845903228e-05
KCNQ1	Blood(T_helper_naive_cells)	0.42729366168002647	3.130000894359025	0.136515507855	0.04559544045595441	0.0086991300869913	0.0035033206893795694
SLC9A3	Blood(T_helper_naive_cells)	0.40930745622756104	1.927891643552635	0.2123083305	0.0704929507049295	0.009999000099990002	0.005820382350658677
HLA-G	Blood(T_helper_naive_cells)	0.4083135782588134	3.097747198960721	0.131809845037	0.0705929407059294	9.999000099990002e-05	9.078237702177796e-05
RUNX3	Blood(T_helper_naive_cells)	0.40023584476178736	4.182355439544814	0.0956962770255	0.010498950104989501	9.999000099990002e-05	1.5502165814800694e-05
HPCAL4	Blood(T_helper_naive_cells)	0.3907114816867427	2.4117085200123998	0.162006095863	0.07239276072392761	9.999000099990002e-05	9.291470296320784e-05
LEF1	Blood(T_helper_naive_cells)	0.3700083010599362	5.6411656614102075	0.0655907525622	9.999000099990002e-05	9.999000099990002e-05	1.9416997140355032e-07
FLI1	Blood(T_helper_naive_cells)	0.33712880857264566	3.0652116933237945	0.10998548952	0.047795220477952205	9.999000099990002e-05	6.332840429284375e-05
CD6	Blood(T_helper_naive_cells)	0.30834689895272605	5.291916927367009	0.05826752445	0.008799120087991202	9.999000099990002e-05	1.3147688979864996e-05
TSC22D3	Blood(T_helper_naive_cells)	0.30622639380373123	6.3130171082529944	0.0485071382752	9.999000099990002e-05	0.0093990600939906	1.3982134227915134e-05
WNT1	Blood(T_helper_naive_cells)	0.29074546056682793	1.2172838183856083	0.238847716675	0.1095890410958904	9.999000099990002e-05	0.00013611195884734908
RBFOX3	Blood(T_helper_naive_cells)	0.282304769031728	0.63974640383283	0.441276054606	0.1136886311368863	9.999000099990002e-05	0.0001407862469138572
MAL	Blood(T_helper_naive_cells)	0.2621849301102252	4.919907930463299	0.0532906171855	0.019098090190980903	9.999000099990002e-05	2.7056628358043305e-05
CRHR1	Blood(T_helper_naive_cells)	0.25705643420710617	1.3724489542978375	0.187297628376	0.08849115088491151	9.999000099990002e-05	0.00011179998272261999
RAB37	Blood(T_helper_naive_cells)	0.2562707455347114	2.687098914349278	0.0953707897265	0.028897110288971104	9.999000099990002e-05	3.974242331039304e-05
IRF4	Blood(T_helper_naive_cells)	0.21647084048896145	1.815475995845371	0.119236410167	0.0678932106789321	9.999000099990002e-05	8.757524680230463e-05
KRT73	Blood(T_helper_naive_cells)	0.2112403661231712	4.782529450952231	0.0441691720437	0.009499050094990502	0.0225977402259774	0.0020277512900737905
ITGB2	Blood(T_helper_naive_cells)	0.20951390293729658	4.653607907104385	0.0450218211589	0.0201979802019798	0.0201979802019798	0.003591806674933966
FBXL16	Blood(T_helper_naive_cells)	0.20457684381541366	2.4062241277535317	0.0850198622214	0.0316968303169683	0.009799020097990201	0.0028193004985206235
CDH23	Blood(T_helper_naive_cells)	0.2040964673876559	2.1644717908644115	0.0942938911235	0.049295070492950704	9.999000099990002e-05	6.516339845903228e-05
BTBD11	Blood(T_helper_naive_cells)	0.1907805377932258	2.557692319513648	0.074590886612	0.010998900109989001	9.999000099990002e-05	1.618920240260416e-05
WNT7A	Blood(T_helper_naive_cells)	0.18848310206172544	1.991839080943713	0.0946276754307	0.07139286071392861	9.999000099990002e-05	9.173063704460476e-05
PRDM8	Blood(T_helper_naive_cells)	0.1865139659323297	1.6134299337036377	0.115600908373	0.0903909609039096	9.999000099990002e-05	0.00011400822163258145
DBH	Blood(T_helper_naive_cells)	0.17110826053401748	2.0268315914075385	0.0844215480257	0.058394160583941604	9.999000099990002e-05	7.62024804884465e-05
NTNG2	Blood(T_helper_naive_cells)	0.17099751678139152	0.7318870088758758	0.233639229427	0.1501849815018498	9.999000099990002e-05	0.0001818006831278345
ESPN	Blood(T_helper_naive_cells)	0.17037688351127456	1.322289031143978	0.128849956022	0.1131886811318868	9.999000099990002e-05	0.00014021701405416873
PAX6	Blood(T_helper_naive_cells)	0.1689665250187277	0.39944703578260143	0.423001073691	0.1710828917108289	9.999000099990002e-05	0.00020486919615371853
NR4A2	Blood(T_helper_naive_cells)	0.16746523140133088	3.423121939077947	0.0489217837932	0.04129587041295871	9.999000099990002e-05	5.5320334252243246e-05
DLX4	Blood(T_helper_naive_cells)	0.16647794316298647	0.3845818971917402	0.432880341947	0.17788221177882213	9.999000099990002e-05	0.00021231808154395987
GRAP2	Blood(T_helper_naive_cells)	0.1661263903017779	3.8531643234217396	0.0431142760489	0.028097190280971903	9.999000099990002e-05	3.872115362364397e-05
XKR6	Blood(T_helper_naive_cells)	0.15433082826362027	0.8812851226753396	0.175120201502	0.10748925107489252	9.999000099990002e-05	0.0001337119078102753
DMTN	Blood(T_helper_naive_cells)	0.15163848082708814	2.061022956155818	0.0735743774101	0.028897110288971104	0.009799020097990201	0.0025964626670558592
SKOR1	Blood(T_helper_naive_cells)	0.15055499181682036	0.7626732432085556	0.197404318504	0.11258874112588742	9.999000099990002e-05	0.000139533643074402
AGAP2	Blood(T_helper_naive_cells)	0.1474085501670269	2.9992261628082466	0.0491488611279	0.0585941405859414	9.999000099990002e-05	7.644341768607214e-05
ETS1	Blood(T_helper_naive_cells)	0.14737528705086772	6.163908312084415	0.0239093898853	9.999000099990002e-05	0.019698030196980302	2.784565429095892e-05
SYT2	Blood(T_helper_naive_cells)	0.14695003562786207	0.5181983780954038	0.283578725522	0.15258474152584742	9.999000099990002e-05	0.00018446376187036592
IKZF1	Blood(T_helper_naive_cells)	0.14633148729897744	4.9859053474756445	0.0293490303367	9.999000099990002e-05	0.0110988901109889	1.6326333661235613e-05
GMDS	Blood(T_helper_naive_cells)	0.14558421071641048	1.604425370610556	0.0907391601898	0.09619038096190381	0.010798920107989201	0.00817470491122193
IDUA	Blood(T_helper_naive_cells)	0.14365897605535516	3.0036508387982863	0.0478281210984	0.06109389061093891	0.007699230076992301	0.004074386037750513
CXCR4	Blood(T_helper_naive_cells)	0.14295303186458497	6.902571868289982	0.0207101113313	9.999000099990002e-05	0.031296870312968704	4.279318164662118e-05
MFSD4A	Blood(T_helper_naive_cells)	0.14206138193661497	1.7757994496493257	0.0799985504921	0.059394060593940604	9.999000099990002e-05	7.740648633133577e-05
PLCH2	Blood(T_helper_naive_cells)	0.13808420056643822	2.5335380711997373	0.0545025165148	0.050994900509949	9.999000099990002e-05	6.72375488598493e-05
EBF4	Blood(T_helper_naive_cells)	0.136196835099096	1.2867502307835041	0.105845588243	0.1070892910708929	9.999000099990002e-05	0.0001332542926350719
LRRN2	Blood(T_helper_naive_cells)	0.13350031367777565	2.318163122957364	0.0575888350374	0.039196080391960805	9.999000099990002e-05	5.27119631453686e-05
DLGAP4	Blood(T_helper_naive_cells)	0.13309850478841312	1.9508976905663524	0.0682242361719	0.045995400459954004	9.999000099990002e-05	6.112018487638444e-05
SLC18A2	Blood(T_helper_naive_cells)	0.1300572062917058	1.6886187103085415	0.0770198775471	0.06999300069993	9.999000099990002e-05	9.007058777410678e-05
NTSR1	Blood(T_helper_naive_cells)	0.12980876386627505	1.0228105752518277	0.126913787369	0.1401859814018598	9.999000099990002e-05	0.00017066252962979494
ARHGEF7	Blood(T_helper_naive_cells)	0.12890491262526887	2.9806693958769452	0.0432469675448	0.061993800619938005	9.999000099990002e-05	8.052909316274266e-05
CASZ1	Blood(T_helper_naive_cells)	0.12745196088873673	0.9899128717447687	0.128750685567	0.14588541145885411	9.999000099990002e-05	0.00017701970365449943
CYTH4	Blood(T_helper_naive_cells)	0.12645156902067012	3.7756991460664966	0.0334909017188	0.0093990600939906	9.999000099990002e-05	1.3982134227915134e-05
IRF8	Blood(T_helper_naive_cells)	0.12628087255818618	1.7989005773794216	0.0701989171309	0.040495950404959506	0.010498950104989501	0.0037257347337178908
FAM120B	Blood(T_helper_naive_cells)	0.1261208716187537	2.787662046737259	0.0452425256377	0.07999200079992001	9.999000099990002e-05	0.0001018697770761679
TCTE1	Blood(T_helper_naive_cells)	0.11714330556023317	1.2322686734807833	0.0950631206337	0.12238776122387761	0.011198880111988802	0.010406328319816749
MMP25	Blood(T_helper_naive_cells)	0.11691796361150442	2.2165913798270696	0.0527467374797	0.07949205079492051	9.999000099990002e-05	0.00010128292442571039
HLA-B	Blood(T_helper_naive_cells)	0.11641063659289168	7.036148493750536	0.0165446531858	9.999000099990002e-05	0.0387961203879612	5.221387323321409e-05
NFIX	Blood(T_helper_naive_cells)	0.11474085515401054	0.9861898592538223	0.116347632332	0.1690830916908309	0.011998800119988001	0.014607954705878447
KRT72	Blood(T_helper_naive_cells)	0.11464370954647404	5.098444685920664	0.0224860161498	0.0103989601039896	0.021397860213978603	0.0020939851377650164
DTX1	Blood(T_helper_naive_cells)	0.11386409004607799	1.793258345351791	0.0634956420759	0.0690930906909309	0.0100989901009899	0.005768901110807609
ADARB2	Blood(T_helper_naive_cells)	0.11378611554858464	1.11382925447297	0.102157592909	0.141985801419858	9.999000099990002e-05	0.00017267251765342397
GRIN2C	Blood(T_helper_naive_cells)	0.11355902578522593	1.2458822074031457	0.0911474817687	0.10798920107989202	0.0117988201179882	0.009766933959110827
RASAL3	Blood(T_helper_naive_cells)	0.11335317324410214	4.298590676431847	0.0263698457882	9.999000099990002e-05	9.999000099990002e-05	1.9416997140355032e-07
CAMTA1	Blood(T_helper_naive_cells)	0.11285254147536869	1.0784095813505903	0.104647198455	0.1493850614938506	9.999000099990002e-05	0.0001809121411844504
MEGF6	Blood(T_helper_naive_cells)	0.11226959479042047	3.2325420156320153	0.0347310550791	0.010698930106989302	9.999000099990002e-05	1.5777259922698373e-05
GATA2	Blood(T_helper_naive_cells)	0.11207940449027369	0.32425505268262117	0.345651990811	0.2248775122487751	9.999000099990002e-05	0.00026313973811801795
CELF2	Blood(T_helper_naive_cells)	0.11205783914769969	4.933689452844608	0.0227127873002	0.0206979302069793	0.022297770222977704	0.004006430545843654
GFI1	Blood(T_helper_naive_cells)	0.11082431067944071	2.1268021130396737	0.0521084260731	0.08769123087691232	9.999000099990002e-05	0.00011086898280841262
PPIE	Blood(T_helper_naive_cells)	0.10485915822672259	2.877061343836312	0.0364466188569	0.0183981601839816	9.999000099990002e-05	2.6133711752785357e-05
LINGO3	Blood(T_helper_naive_cells)	0.10435038513177664	2.334374415483453	0.0447016487328	0.09509049095090491	9.999000099990002e-05	0.0001194537251055284
ACTR5	Blood(T_helper_naive_cells)	0.10431772138409827	2.841123155326572	0.0367170712711	0.028197180281971802	9.999000099990002e-05	3.884893555410192e-05
ABR	Blood(T_helper_naive_cells)	0.10289569525093066	3.2315156052146365	0.0318413115768	0.026597340265973404	0.009799020097990201	0.00241143773795185
IKZF3	Blood(T_helper_naive_cells)	0.10123518372596925	3.1765527042216783	0.0318695117482	0.05119488051194881	9.999000099990002e-05	6.748119036475246e-05
ZNF831	Blood(T_helper_naive_cells)	0.10060068687889866	2.733067964077498	0.0368087029672	0.058894110588941104	9.999000099990002e-05	7.680469559410978e-05
PDE1B	Blood(T_helper_naive_cells)	0.10058135859891791	2.0298573123240757	0.0495509502014	0.12168783121687832	0.011898810118988102	0.010914014577061015
WNT10A	Blood(T_helper_naive_cells)	0.10040790704929725	0.5429055172294024	0.184945453422	0.1376862313768623	9.999000099990002e-05	0.00016786704001236686
FRMD4A	Blood(T_helper_naive_cells)	0.10040599561044185	1.0112372091831088	0.099290250298	0.14428557144285573	0.011398860113988602	0.01218749406892659
SIM2	Blood(T_helper_naive_cells)	0.09936111361976992	0.18065349969325756	0.550009348219	0.28997100289971	9.999000099990002e-05	0.00033193763597480464
TNFSF8	Blood(T_helper_naive_cells)	0.09790893292577973	4.941613850772562	0.0198131492833	0.0082991700829917	0.0316968303169683	0.0024314758123909317
SDK2	Blood(T_helper_naive_cells)	0.09755424925229575	1.7707060600302227	0.0550934180745	0.10728927107289271	0.011398860113988602	0.009424821392553469
MAFB	Blood(T_helper_naive_cells)	0.09724806318696785	0.7217346374118577	0.134742131174	0.18468153184681532	0.010798920107989201	0.014394164735170927
EOMES	Blood(T_helper_naive_cells)	0.09675032071339472	0.5359084041334539	0.180535180951	0.1588841115888411	0.0096990300969903	0.011519614890504919
TSPAN18	Blood(T_helper_naive_cells)	0.09598907200623528	2.8024508765236944	0.0342518303569	0.06059394060593941	9.999000099990002e-05	7.884907392889884e-05
POU2F2	Blood(T_helper_naive_cells)	0.09524537548471024	2.7810528006519104	0.0342479565517	0.0678932106789321	0.008599140085991401	0.0049309198011142155
HOXB3	Blood(T_helper_naive_cells)	0.09413063318126468	0.8082599876604498	0.11646083515	0.1795820417958204	9.999000099990002e-05	0.00021417620280990863
CEACAM21	Blood(T_helper_naive_cells)	0.09360698587829083	2.398985587280361	0.0390194031905	0.06209379062093791	0.0174982501749825	0.00850186146985828
MFNG	Blood(T_helper_naive_cells)	0.09279766502084966	4.22852574368812	0.0219456308524	0.031096890310968902	0.009299070092990702	0.0026454881552009993
C22orf34	Blood(T_helper_naive_cells)	0.09135178184215562	2.0179649945780844	0.0452692599166	0.12038796120387961	0.022997700229977002	0.019074302564980796
RUNX1	Blood(T_helper_naive_cells)	0.09068037608787317	3.2044928845007474	0.0282978865475	0.038896110388961104	9.999000099990002e-05	5.233843419817761e-05
SMARCD3	Blood(T_helper_naive_cells)	0.09065340289133683	1.6538374997307848	0.0548139722954	0.12618738126187382	9.999000099990002e-05	0.00015494800630780906
PRKCB	Blood(T_helper_naive_cells)	0.08868875568148825	3.7366929510229414	0.0237345580287	0.042495750424957505	9.999000099990002e-05	5.6806002382835084e-05
NFATC2	Blood(T_helper_naive_cells)	0.08771303163276159	3.332204510175204	0.0263228236337	0.011698830116988301	9.999000099990002e-05	1.7147257332072694e-05
AMMECR1	Blood(T_helper_naive_cells)	0.08689610304996613	2.0353590291096473	0.0426932554931	0.0795920407959204	0.022897710228977103	0.013317848137389593
FAM172A	Blood(T_helper_naive_cells)	0.08564488811377884	2.651691467432826	0.0322982100918	0.07189281071892811	9.999000099990002e-05	9.232284382311501e-05
BCOR	Blood(T_helper_naive_cells)	0.0840372258796864	1.710368631012541	0.0491339845434	0.15348465153484653	9.999000099990002e-05	0.0001854614402421894
SORCS3	Blood(T_helper_naive_cells)	0.08354738868862496	0.9013801191384009	0.0926882975503	0.17678232176782321	9.999000099990002e-05	0.0002111149032647544
TSPEAR	Blood(T_helper_naive_cells)	0.08223657380826545	0.4548899914356874	0.180783431943	0.17988201179882013	9.999000099990002e-05	0.0002145039391221815
TMEM132E	Blood(T_helper_naive_cells)	0.08205508533995054	0.18979357163265567	0.432338590997	0.24877512248775122	9.999000099990002e-05	0.00028859123831516257
PTPRN2	Blood(T_helper_naive_cells)	0.08162156393828399	0.5265021031509983	0.155026092868	0.2054794520547945	0.0211978802119788	0.028034617629846843
ADD2	Blood(T_helper_naive_cells)	0.08121165308401486	1.5589863689380021	0.052092599847	0.1476852314768523	9.999000099990002e-05	0.00017902256460435153
MACROD1	Blood(T_helper_naive_cells)	0.08112761412171594	1.3182831505033468	0.0615403557959	0.1262873712628737	0.0091990800919908	0.009012505349074917
ALX3	Blood(T_helper_naive_cells)	0.08104606659709045	1.3653260546836943	0.0593602285103	0.14078592140785923	0.009799020097990201	0.010465356117706902
SOX7	Blood(T_helper_naive_cells)	0.08023464023941412	0.920681080175448	0.0871470501209	0.15108489151084892	9.999000099990002e-05	0.00018279978370535057
SPEG	Blood(T_helper_naive_cells)	0.08000569447134535	1.0770481107522691	0.074282377614	0.08999100089991001	0.010298970102989701	0.007399462756138098
HS3ST3B1	Blood(T_helper_naive_cells)	0.07960765748916165	1.5752604606325138	0.0505361871758	0.15698430156984303	0.009099090090990901	0.010786228269660136
PRTN3	Blood(T_helper_naive_cells)	0.07812791297929082	2.2334493541591836	0.0349808303617	0.1044895510448955	9.999000099990002e-05	0.00013027612802347477
UBASH3A	Blood(T_helper_naive_cells)	0.07805810754603056	3.822710801747457	0.0204195691472	0.030396960303969604	9.999000099990002e-05	4.165138252592332e-05
MT1F	Blood(T_helper_naive_cells)	0.07783637410595315	2.192212035512675	0.0355058602202	0.11908809119088092	9.999000099990002e-05	0.00014692015058104143
RAP1GAP2	Blood(T_helper_naive_cells)	0.07779840959398031	2.558853894740083	0.0304036153662	0.0978902109789021	0.0103989601039896	0.008031633426051428
QSOX2	Blood(T_helper_naive_cells)	0.0776314697924848	2.90136664751827	0.0267568629628	0.0402959704029597	9.999000099990002e-05	5.407961854867968e-05
IQSEC1	Blood(T_helper_naive_cells)	0.07690468781792553	4.216945602262329	0.0182370594908	9.999000099990002e-05	0.029597040295970403	4.063421573821203e-05
NBPF20	Blood(T_helper_naive_cells)	0.07598023104900892	3.4747575847701837	0.0218663400814	0.06009399060093991	9.999000099990002e-05	7.824828721457547e-05
ANK1	Blood(T_helper_naive_cells)	0.07526040330564901	0.3811724155391198	0.197444516543	0.19088091190880913	0.0117988201179882	0.01598108267318689
RAB11FIP4	Blood(T_helper_naive_cells)	0.07433331123034083	3.160865283364695	0.0235167603066	0.06209379062093791	9.999000099990002e-05	8.06489727380042e-05
NFATC1	Blood(T_helper_naive_cells)	0.07363095751261213	3.087809961754899	0.0238456894772	0.061693830616938304	0.010698930106989302	0.0054937832910369085
IGSF9B	Blood(T_helper_naive_cells)	0.07361462290062966	1.259596708073933	0.0584430099164	0.15708429157084292	0.011898810118988102	0.013611445163991036
MAST4	Blood(T_helper_naive_cells)	0.07342552359419166	2.701159850397456	0.0271829612688	0.0700929907009299	9.999000099990002e-05	9.018925490402505e-05
PRKAG2	Blood(T_helper_naive_cells)	0.07334339832915976	2.7917171026747805	0.0262717874454	0.040495950404959506	0.0282971702829717	0.00890557712504154
RORA	Blood(T_helper_naive_cells)	0.07280440598256323	3.587593957609249	0.0202933795861	0.029997000299970003	0.009299070092990702	0.0025619627375869126
FMNL1	Blood(T_helper_naive_cells)	0.07279174333798813	4.97251104627177	0.0146388298911	9.999000099990002e-05	0.047495250474952504	6.296084536843036e-05
NTN1	Blood(T_helper_naive_cells)	0.0721653140665519	0.5944312076207876	0.121402297089	0.1967803219678032	9.999000099990002e-05	0.00023288801874415884
KCNA3	Blood(T_helper_naive_cells)	0.07189402149766018	4.848665233550198	0.014827590282	0.0093990600939906	0.038396160383961604	0.0032216251320947684
PIK3R5	Blood(T_helper_naive_cells)	0.07140239993471031	4.736426492565886	0.0150751626879	0.0216978302169783	0.040495950404959506	0.007061989626403829
RIPK3	Blood(T_helper_naive_cells)	0.0713241847198585	2.1040121956140405	0.0338991308456	0.13408659134086592	9.999000099990002e-05	0.00016383354075101745
NCKAP1L	Blood(T_helper_naive_cells)	0.07039206970447837	3.9003956691871666	0.018047417666	0.032896710328967106	9.999000099990002e-05	4.481670382575523e-05
ARHGAP9	Blood(T_helper_naive_cells)	0.07011230962223478	4.1022961973430485	0.0170909915446	0.019098090190980903	9.999000099990002e-05	2.7056628358043305e-05
SLFN13	Blood(T_helper_naive_cells)	0.06984843797178215	2.7462447469001794	0.0254341635248	0.08029197080291971	0.0122987701229877	0.00782127792494444
PLCB2	Blood(T_helper_naive_cells)	0.06957382513012265	4.025798019686991	0.0172819959645	0.030796920307969204	9.999000099990002e-05	4.215917307281044e-05
ZBTB16	Blood(T_helper_naive_cells)	0.06888630195152513	1.504965890837389	0.0457726665906	0.1573842615738426	0.009599040095990401	0.011323217448073108
SMUG1	Blood(T_helper_naive_cells)	0.06861740920621091	0.863733481135479	0.0794428034861	0.1326867313268673	0.0098990100989901	0.01002843423218477
SEZ6	Blood(T_helper_naive_cells)	0.06843646301225982	0.6381628722271858	0.107239806624	0.23177682231776822	0.009499050094990502	0.015672610663756043
MTMR9	Blood(T_helper_naive_cells)	0.06831601600805111	2.039010095885498	0.0335045011037	0.1434856514348565	0.026597340265973404	0.025067471323053925
RAC2	Blood(T_helper_naive_cells)	0.06802523283056999	4.994411056719227	0.0136202711507	9.999000099990002e-05	0.06319368063193681	8.196659112968328e-05
CBX4	Blood(T_helper_naive_cells)	0.06746890535110227	3.7350948779108992	0.0180635050933	0.0423957604239576	0.010798920107989201	0.003978078574851477
LRRC4B	Blood(T_helper_naive_cells)	0.06737218596051425	1.189366651936574	0.0566454304489	0.17798220177982202	9.999000099990002e-05	0.00021242742760407593
SLC17A9	Blood(T_helper_naive_cells)	0.06719206720823503	1.4527841023887236	0.0462505523689	0.1877812218778122	9.999000099990002e-05	0.00022311657588684798
L1CAM	Blood(T_helper_naive_cells)	0.06696389245318797	1.612433421413899	0.0415297100419	0.0862913708629137	0.019198080191980802	0.012263973365445246
EDAR	Blood(T_helper_naive_cells)	0.06673076678400655	3.170231650041806	0.02104917689	0.08969103089691031	0.0207979202079792	0.013588013186884348
SHTN1	Blood(T_helper_naive_cells)	0.06655126368188709	0.458689869345462	0.145089892168	0.23667633236676333	0.009299070092990702	0.01566777783903014
RING1	Blood(T_helper_naive_cells)	0.06594273970508276	3.260631783108528	0.020223914901	0.06769323067693231	9.999000099990002e-05	8.733725972592826e-05
CACNA2D4	Blood(T_helper_naive_cells)	0.06591881548165354	1.2993738890891888	0.0507312144989	0.21407859214078592	0.017998200179982	0.025271617265811255
CRTAC1	Blood(T_helper_naive_cells)	0.06564729018528297	0.19309662996191315	0.339971185402	0.22717728227177283	0.0098990100989901	0.01596072409104884
WDR86	Blood(T_helper_naive_cells)	0.0655035738319864	1.994972385053386	0.0328343260903	0.15978402159784022	0.0112988701129887	0.013209929994636197
TCF20	Blood(T_helper_naive_cells)	0.06542839150151415	3.4730528187625835	0.0188388702723	0.04939506049395061	0.0105989401059894	0.004478795238230443
TBX21	Blood(T_helper_naive_cells)	0.06537250496354408	0.5687171021817683	0.114947316887	0.22697730226977303	9.999000099990002e-05	0.0002653858658259175
BMI1	Blood(T_helper_naive_cells)	0.06367309905412948	3.3611042880957114	0.0189441009848	0.057894210578942104	9.999000099990002e-05	7.559983738096595e-05
ADGRB1	Blood(T_helper_naive_cells)	0.06230167791379477	0.7347688552507647	0.0847908528901	0.18588141185881413	0.023497650234976502	0.028100094857586293
TOX2	Blood(T_helper_naive_cells)	0.062100157491127614	1.0992787332112701	0.0564917300908	0.19668033196680332	0.009499050094990502	0.01360616890728612
SH3RF3	Blood(T_helper_naive_cells)	0.06206362504191387	1.935426819040468	0.0320671515096	0.1606839316068393	0.018098190180981903	0.019892078510982486
DLL1	Blood(T_helper_naive_cells)	0.06197852915632157	1.2476068413459973	0.0496779330654	0.22517748225177484	0.027297270272972702	0.037444868248081915
DSCAML1	Blood(T_helper_naive_cells)	0.060941251178575614	0.37775126954064864	0.161326396739	0.24677532246775322	0.020997900209979003	0.03245136356859292
LMF1	Blood(T_helper_naive_cells)	0.06044595390938151	2.829500577908984	0.0213627642918	0.10138986101389862	0.018098190180981903	0.013396634112401181
COL18A1	Blood(T_helper_naive_cells)	0.05964283783965234	3.035673880646939	0.0196473139687	0.0978902109789021	9.999000099990002e-05	0.00012268673903035324
SIDT1	Blood(T_helper_naive_cells)	0.05893754847926985	3.0798895815607144	0.0191362537255	0.09219078092190781	0.0096990300969903	0.007170836764791911
CLYBL	Blood(T_helper_naive_cells)	0.05888118916147054	1.3268097142849984	0.0443780208477	0.17968203179682032	0.019198080191980802	0.0230068136791889
PLXNC1	Blood(T_helper_naive_cells)	0.05861689892787606	1.679709965419432	0.034897035878	0.15958404159584041	0.012798720127987202	0.014692712035107159
FOXP4	Blood(T_helper_naive_cells)	0.05821204803715437	1.1829534371018604	0.049209078068	0.24747525247475252	0.0105989401059894	0.018212487809066254
CABP7	Blood(T_helper_naive_cells)	0.05781948450130874	0.7055697005585024	0.0819472327901	0.18518148185181482	0.010198980101989802	0.013734137519433889
KLHL29	Blood(T_helper_naive_cells)	0.057697414745802054	1.3480731482996928	0.0427999139502	0.1391860813918608	0.0103989601039896	0.010910419504429109
NKX3-1	Blood(T_helper_naive_cells)	0.05732300679514484	0.797507195884188	0.07187772987	0.12408759124087591	0.0096990300969903	0.009294251234682424
CACNA2D2	Blood(T_helper_naive_cells)	0.057314571007634506	1.2834307256606514	0.044657315632	0.1962803719628037	0.019998000199980003	0.025672217263527745
ALOX12B	Blood(T_helper_naive_cells)	0.057034059994527715	0.3541718137206139	0.161035005568	0.2636736326367363	9.999000099990002e-05	0.00030434078994880765
CUX2	Blood(T_helper_naive_cells)	0.056898004676695355	0.3264219007677116	0.17430817155	0.24907509249075094	0.010198980101989802	0.01771986548352979
WNT10B	Blood(T_helper_naive_cells)	0.056765058529853855	1.9368694044031642	0.0293076334423	0.11498850114988501	0.0287971202879712	0.02222041053919488
S100A8	Blood(T_helper_naive_cells)	0.05660910102204955	4.426844634519483	0.0127876864213	0.011898810118988102	0.010698930106989302	0.0012690898233287497
