#gene	sample	DS	RTS	bin_RTS	exp	bin_exp	empirical_p
GATA3	Blood(T_helper_naive_cells)	1.3578628377351423	0.411389191877	0.28169585811599	1.4587724488089115	0.1982595498010346	9.999000099990002e-05
C5orf66	Blood(T_helper_naive_cells)	1.291616660835923	0.413532020435	0.28169585811599	1.4166726399719585	0.1982595498010346	0.0081991800819918
RNF220	Blood(T_helper_naive_cells)	0.8591534166072028	0.304303781201	0.28169585811599	1.3411247118965588	0.1982595498010346	0.016998300169983
SKAP1	Blood(T_helper_naive_cells)	0.7827861442542637	0.167125101138	0.16737537235475997	1.737625913741511	0.31193496530486003	9.999000099990002e-05
BUB3	Blood(T_helper_naive_cells)	0.7061733376492781	0.166889678231	0.16737537235475997	1.6546747516504323	0.31193496530486003	0.019998000199980003
BCL11B	Blood(T_helper_naive_cells)	0.5674196289876287	0.12686253111	0.12663605907937	1.6997743806241394	0.2698022885715777	9.999000099990002e-05
CACNA1I	Blood(T_helper_naive_cells)	0.5397990249671254	0.154198305236	0.15416415786597	1.5042286431484329	0.3123123696576244	0.0184981501849815
SLFN12L	Blood(T_helper_naive_cells)	0.5340266548958871	0.149530250272	0.14972124819983	1.5198111929289784	0.28997632927331624	0.0212978702129787
LHX4	Blood(T_helper_naive_cells)	0.5021809044250812	0.260915687379	0.26058331263691004	1.0731872997619232	0.2982451858572206	0.07849215078492151
GNAS	Blood(T_helper_naive_cells)	0.4911398875755145	0.104889185398	0.10503189586881698	1.7373850303395426	0.24226675587720906	0.008799120087991202
ROBO3	Blood(T_helper_naive_cells)	0.4749940590389017	0.315478244281	0.28169585811599	0.9185408958387046	0.1982595498010346	0.05979402059794021
METAP1D	Blood(T_helper_naive_cells)	0.47496635060871323	0.229758417661	0.23001378132379	1.120778928054061	0.2915113989507864	0.06999300069993
KCNQ1	Blood(T_helper_naive_cells)	0.42729366168002647	0.136515507855	0.13616705890301	1.41827762352474	0.2723712889267729	0.020597940205979402
SLC9A3	Blood(T_helper_naive_cells)	0.40930745622756104	0.2123083305	0.21223418373806002	1.0742825884309002	0.29640509478282995	0.06679332066793321
HLA-G	Blood(T_helper_naive_cells)	0.4083135782588134	0.131809845037	0.13191007871103	1.410437359031665	0.2662139921238971	0.0081991800819918
